Sintoma,Centralidade_Grau,Centralidade_Intermediação
Dengue Grave,1.0,0.7003676470588234
FEBRE,0.5882352941176471,0.03125
MIALGIA,0.5882352941176471,0.03125
CEFALEIA,0.47058823529411764,0.003676470588235294
VOMITO,0.47058823529411764,0.003676470588235294
NAUSEA,0.47058823529411764,0.003676470588235294
DOR_COSTAS,0.3529411764705882,0.0
ARTRITE,0.058823529411764705,0.0
PETEQUIA_N,0.058823529411764705,0.0
LEUCOPENIA,0.1764705882352941,0.0
LACO,0.058823529411764705,0.0
DOR_RETRO,0.3529411764705882,0.0
DIABETES,0.23529411764705882,0.0
HEMATOLOG,0.058823529411764705,0.0
HEPATOPAT,0.058823529411764705,0.0
RENAL,0.058823529411764705,0.0
HIPERTENSA,0.4117647058823529,0.005514705882352941
AUTO_IMUNE,0.058823529411764705,0.0
